CURRENT ARTICLE	TP CLASS	ANNOTATOR MISMATCHES CLASS	F1 CLASS (IAA)	TP SUBJECT	ANNOTATOR MISMATCHES SUBJECT	F1 SUBJECT (IAA)	FUZZY TP CLASS	FUZZY ANNOTATOR MISMATCHES CLASS	FUZZY F1 CLASS (IAA)	FUZZY TP SUBJECT	FUZZY ANNOTATOR MISMATCHES SUBJECT	FUZZY F1 SUBJECT (IAA)




ANNOTATORS:	ELIZABETH, MAYLA, 
PMC4304064	9	[1, 7]	0.69	3	[2, 7]	0.40	9	[1, 7]	0.69	5	[0, 5]	0.67
PMC3513049	26	[4, 3]	0.88	9	[3, 3]	0.75	26	[4, 3]	0.88	11	[1, 1]	0.92
PMC3373750	11	[3, 4]	0.76	3	[3, 6]	0.40	11	[3, 4]	0.76	6	[0, 3]	0.80
PMC3313761	14	[3, 4]	0.80	11	[1, 2]	0.88	15	[2, 2]	0.88	11	[1, 2]	0.88
PMC2874300	19	[9, 5]	0.73	7	[3, 3]	0.70	19	[9, 5]	0.73	9	[0, 1]	0.95
PMC1533075	8	[3, 0]	0.84	1	[4, 2]	0.25	8	[2, 0]	0.89	3	[2, 0]	0.75
PMC6054603	78	[36, 22]	0.73	22	[26, 26]	0.46	80	[28, 19]	0.77	42	[6, 5]	0.88
PMC6033232	153	[53, 26]	0.79	48	[43, 38]	0.54	161	[38, 16]	0.86	83	[8, 1]	0.95
TOTAL	318	[112, 71]	0.78	104	[85, 87]	0.55	329	[87, 56]	0.82	170	[18, 18]	0.90





ANNOTATORS (ONLY CLASS):	ELIZABETH, PREPROCESS, 
PMC4304064	10	[0, 14]	0.59	NA	[5, 0]	NA	10	[0, 13]	0.61	NA	[10, 0]	NA
PMC3513049	30	[0, 14]	0.81	NA	[12, 0]	NA	30	[0, 14]	0.81	NA	[24, 0]	NA
PMC3373750	14	[0, 10]	0.74	NA	[6, 0]	NA	14	[0, 10]	0.74	NA	[12, 0]	NA
PMC3313761	15	[2, 21]	0.57	NA	[12, 0]	NA	15	[2, 20]	0.58	NA	[24, 0]	NA
PMC2874300	26	[2, 17]	0.73	NA	[10, 0]	NA	27	[1, 16]	0.76	NA	[20, 0]	NA
PMC1533075	8	[3, 10]	0.55	NA	[5, 0]	NA	8	[2, 9]	0.59	NA	[10, 0]	NA
PMC6054603	99	[15, 163]	0.53	NA	[48, 0]	NA	103	[5, 150]	0.57	NA	[96, 0]	NA
PMC6033232	180	[26, 190]	0.62	NA	[91, 0]	NA	187	[12, 176]	0.67	NA	[182, 0]	NA
TOTAL	382	[48, 439]	0.61	NA	[189, 0]	NA	394	[22, 408]	0.65	NA	[378, 0]	NA





ANNOTATORS (ONLY CLASS):	MAYLA, PREPROCESS, 
PMC4304064	16	[0, 8]	0.80	NA	[10, 0]	NA	16	[0, 7]	0.82	NA	[20, 0]	NA
PMC3513049	27	[2, 17]	0.74	NA	[12, 0]	NA	27	[2, 17]	0.74	NA	[24, 0]	NA
PMC3373750	13	[2, 11]	0.67	NA	[9, 0]	NA	13	[2, 11]	0.67	NA	[18, 0]	NA
PMC3313761	16	[2, 20]	0.59	NA	[13, 0]	NA	16	[1, 19]	0.62	NA	[26, 0]	NA
PMC2874300	20	[4, 23]	0.60	NA	[10, 0]	NA	20	[4, 23]	0.60	NA	[20, 0]	NA
PMC1533075	8	[0, 10]	0.62	NA	[3, 0]	NA	8	[0, 9]	0.64	NA	[6, 0]	NA
PMC6054603	82	[18, 180]	0.45	NA	[48, 0]	NA	82	[17, 171]	0.47	NA	[96, 0]	NA
PMC6033232	156	[23, 214]	0.57	NA	[86, 0]	NA	158	[19, 205]	0.59	NA	[172, 0]	NA
TOTAL	338	[51, 483]	0.56	NA	[191, 0]	NA	340	[45, 462]	0.57	NA	[382, 0]	NA



