LEXICAL_CUE	SYNONYM (ORIGINAL REGEX)	IGNORANCE_TYPE	ANNOTATION_ID	SPAN_START	SPAN_END
false_positives	false_positives	PROBLEM_COMPLICATION	PMC2396486.nxml.gz-102	13504	13519
converge	converge	SUPERFICIAL_RELATIONSHIP	PMC2396486.nxml.gz-104	16803	16811
disrupt	disrupt	PROBLEM_COMPLICATION	PMC2396486.nxml.gz-10705	20134	20141
too...to_be	too.{0,5}to_be	DIFFICULT_TASK	PMC2396486.nxml.gz-10707	22907	22920
for_some_time	for_some_time	INCOMPLETE_EVIDENCE	PMC2396486.nxml.gz-112	17619	17632
has_been_noted	has_been_noted	ANOMALY_CURIOUS_FINDING	PMC2396486.nxml.gz-130	18572	18586
curiously	curiously	ANOMALY_CURIOUS_FINDING	PMC2396486.nxml.gz-145	19483	19492
inferring	inferring	INCOMPLETE_EVIDENCE	PMC2396486.nxml.gz-154	19984	19993
curiously	curiously	ANOMALY_CURIOUS_FINDING	PMC2396486.nxml.gz-172	20931	20940
a_range_of_studies	a_range_of_studies	INCOMPLETE_EVIDENCE	PMC2396486.nxml.gz-183	21332	21350
like_the_previous...study	like_the_previous.{0,11}study	INCOMPLETE_EVIDENCE	PMC2396486.nxml.gz-190	21745	21778
conceivable	conceivable	PROBABLE_UNDERSTANDING	PMC2396486.nxml.gz-200	22044	22055
alternately	alternately	ALTERNATIVE_OPTIONS_CONTROVERSY	PMC2396486.nxml.gz-203	22224	22235
disappointingly	disappointingly	ANOMALY_CURIOUS_FINDING	PMC2396486.nxml.gz-208	22359	22374
no_overlap	no_overlap	ALTERNATIVE_OPTIONS_CONTROVERSY	PMC2396486.nxml.gz-209	22385	22395
whereas	whereas	ALTERNATIVE_OPTIONS_CONTROVERSY	PMC2396486.nxml.gz-214	22592	22599
models	models	INCOMPLETE_EVIDENCE	PMC2396486.nxml.gz-22	1699	1705
there_is_a_case	there_is_a_case	FUTURE_WORK	PMC2396486.nxml.gz-226	23017	23032
while	while	ANOMALY_CURIOUS_FINDING	PMC2396486.nxml.gz-230	23190	23195
plan_to	plan_to	FUTURE_WORK	PMC2396486.nxml.gz-232	23354	23361
issues	issues	ANOMALY_CURIOUS_FINDING	PMC2396486.nxml.gz-233	23376	23382
lends_further_credibility	lends_further_credibility	INCOMPLETE_EVIDENCE	PMC2396486.nxml.gz-247	23793	23818
fits	fits	SUPERFICIAL_RELATIONSHIP	PMC2396486.nxml.gz-31	2257	2261
models	models	INCOMPLETE_EVIDENCE	PMC2396486.nxml.gz-4	216	222
informative	informative	INCOMPLETE_EVIDENCE	PMC2396486.nxml.gz-42	2601	2612
robust	robust	INCOMPLETE_EVIDENCE	PMC2396486.nxml.gz-47	3303	3309
confirmed	confirmed	INCOMPLETE_EVIDENCE	PMC2396486.nxml.gz-5	228	237
however	however	ANOMALY_CURIOUS_FINDING	PMC2396486.nxml.gz-57	3912	3919
relevant_to	relevant_to	SUPERFICIAL_RELATIONSHIP	PMC2396486.nxml.gz-66	4286	4297
to_further_explore	to_further_explore	QUESTION_ANSWERED_BY_THIS_WORK	PMC2396486.nxml.gz-78	5055	5073
insufficient	insufficient	INCOMPLETE_EVIDENCE	PMC2396486.nxml.gz-91	11781	11793
prone	prone	PROBABLE_UNDERSTANDING	PMC2396486.nxml.gz-93	12541	12546
predict	predict	INCOMPLETE_EVIDENCE	PMC2396486.nxml.gz-99	13462	13469
only	only	ANOMALY_CURIOUS_FINDING	PMC3427250.nxml.gz-102	15142	15146
while	while	ANOMALY_CURIOUS_FINDING	PMC3427250.nxml.gz-103	15222	15227
proxy	proxy	SUPERFICIAL_RELATIONSHIP	PMC3427250.nxml.gz-105	17214	17219
not...established	not.{0,9}established	FULL_UNKNOWN	PMC3427250.nxml.gz-10712	23511	23534
absence_of	absence_of	FULL_UNKNOWN	PMC3427250.nxml.gz-10717	23897	23907
on_the_other_hand	on_the_other_hand	ANOMALY_CURIOUS_FINDING	PMC3427250.nxml.gz-108	17626	17643
small-scale_studies	small-scale_studies	INCOMPLETE_EVIDENCE	PMC3427250.nxml.gz-116	19928	19947
only	only	ANOMALY_CURIOUS_FINDING	PMC3427250.nxml.gz-125	20455	20459
some_studies	some_studies	INCOMPLETE_EVIDENCE	PMC3427250.nxml.gz-127	20579	20591
while	while	ANOMALY_CURIOUS_FINDING	PMC3427250.nxml.gz-13	1155	1160
reflect	reflect	SUPERFICIAL_RELATIONSHIP	PMC3427250.nxml.gz-131	20928	20935
